,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
6172,13,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.44B,45.47,50.36,3.79,6.60,9.92,-,56.59,0.58%,24.00%,1.44,27.00%,-8.77%,5.10%,12.00%,5.70%,42.00%,18.80%,52.26M,40.93M,19.10%,-1.96%,72.60%,0.86%,9.12%,20.25,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,0.58%,6.92%,11.57%,19.51%,35.37%,32.50%,0.70,2.51,3.80%,4.27%,4.59%,7.04%,18.61%,-5.68%,19.37%,-5.68%,61.73%,59.50,0.65%,-1.08%,3.50,184.36K,2.05,65.47,-0.44%,"377,650",Nov 05/a,35.00,1/3/1991
6173,14,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.91B,21.00,15.25,1.76,1.01,2.65,9.28,16.04,0.69%,12.60%,6.87,21.10%,10.43%,0.40%,11.90%,-0.30%,21.70%,9.90%,68.97M,67.60M,0.40%,2.41%,-,-0.77%,3.07%,2.62,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,-6.28%,-5.62%,-8.15%,6.45%,-8.84%,-9.88%,1.29,4.32,2.62%,2.79%,-5.15%,-5.82%,4.71%,-12.04%,1.31%,-15.35%,102.35%,35.67,-1.08%,-0.12%,2.30,792.36K,1.68,144.33,-1.20%,"1,334,180",Nov 10/b,175.63,11/29/2001
6174,15,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2017.09B,35.92,27.11,2.84,7.35,30.64,22.18,34.02,0.70%,24.10%,3.27,10.20%,9.27%,7.30%,12.64%,3.30%,-3.00%,1.00%,17.06B,16.99B,0.07%,-6.81%,59.80%,-,0.47%,0.52,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,-1.61%,1.37%,-6.77%,48.19%,79.14%,59.84%,1.31,3.15,1.72%,2.66%,1.13%,1.75%,25.71%,-6.42%,13.81%,-14.96%,120.76%,52.96,-1.09%,-0.01%,2.10,154.64M,0.47,117.34,-1.10%,"72,188,812",Oct 29/a,124.81,12/12/1980
6175,16,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.74B,45.30,39.64,15.10,4.82,1.33,11.23,-,3.50%,166.80%,0.63,101.50%,38.46%,10.50%,3.00%,7.10%,-61.20%,-14.20%,59.83M,59.59M,0.30%,233.64%,97.20%,0.22%,1.14%,2.02,1.30%,2.90%,4.30%,-,-,1.10,1.10,65.10%,28.20%,10.40%,7.29%,17.26%,10.75%,5.70%,-38.10%,-37.82%,1.21,1.20,4.12%,4.55%,17.66%,16.40%,1.64%,-3.09%,37.67%,-40.73%,41.64%,64.61,-0.70%,-0.66%,2.80,336.05K,0.80,28.54,-1.35%,"268,419",Oct 27/a,27.00,1/13/2011
6176,17,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,131.90M,-,-,-,-,2.35,48.85,-,-,-,-0.02,-3.20%,-,31.70%,-,-,81.30%,-,119.16M,115.02M,7.20%,0.00%,5.90%,45.40%,0.49%,0.80,-4.20%,-4.60%,-,9.50,9.50,0.04,0.04,-,-,-,-2.70%,14.50%,59.57%,148.45%,129.79%,83.36%,1.19,0.10,7.16%,9.62%,1.50%,13.36%,79.53%,-12.90%,60.21%,-12.90%,409.19%,52.97,-3.57%,0.90%,-,696.81K,0.43,1.08,-2.70%,"298,754",-,-,10/17/2003
6177,18,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.50B,-,6.18,-,0.50,0.69,2.09,1.84,-,-,-9.16,-218.60%,-28.91%,-36.10%,10.00%,8.80%,19.90%,24.90%,26.14M,25.57M,1.40%,-27.65%,-,-0.71%,11.21%,5.64,-4.20%,-12.40%,-5.00%,1.00,1.00,1.03,1.17,57.70%,-9.70%,-7.70%,-2.39%,-16.24%,-7.11%,36.75%,118.76%,93.69%,1.37,2.73,3.75%,4.82%,-8.03%,-12.55%,20.78%,-22.70%,6.27%,-22.70%,256.71%,37.79,-1.42%,-0.81%,1.70,508.20K,1.05,53.40,-2.22%,"536,136",Nov 05/b,79.50,7/21/2004
6178,19,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.71%,6.79%,10.09%,34.23%,22.84%,16.69%,-,1.13,0.78%,1.16%,4.14%,7.38%,19.88%,-0.73%,15.97%,-0.73%,61.98%,71.74,0.29%,0.51%,-,1.24M,0.52,85.77,0.80%,"643,803",-,-,8/15/2008
6179,20,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,7.82B,-,96.75,-,12.48,8.85,15.43,-,-,-,-0.66,-97.10%,16.22%,-47.40%,18.80%,26.40%,-113.50%,27.20%,63.50M,62.62M,1.70%,-13.42%,88.40%,3.85%,7.59%,8.04,-3.80%,-5.60%,-1.40%,3.40,3.00,0.00,0.00,58.70%,-5.50%,-6.40%,3.17%,20.43%,49.92%,64.66%,73.59%,70.32%,0.63,4.76,3.18%,4.03%,12.04%,24.11%,44.79%,-2.78%,54.97%,-2.78%,149.37%,72.69,0.50%,0.89%,2.10,591.21K,0.69,124.81,1.39%,"406,032",Nov 05/a,119.56,6/7/2001
6180,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,33.51B,50.11,30.12,5.22,6.42,6.88,24.67,64.69,0.70%,30.80%,2.21,26.10%,14.03%,37.50%,9.60%,5.00%,5.50%,-1.00%,309.00M,307.28M,0.40%,-11.59%,89.80%,-1.02%,1.02%,2.53,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,0.65%,3.86%,13.62%,28.75%,41.62%,29.98%,1.00,2.85,2.89%,2.52%,3.02%,6.45%,23.32%,-5.63%,16.19%,-5.63%,81.40%,60.75,2.07%,-0.04%,2.20,1.24M,2.24,110.89,2.03%,"2,774,924",Nov 23/a,106.40,11/18/1999
6181,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,3.52B,-,272.75,-,0.38,1.03,2.03,14.54,-,-,-2.53,-559.70%,104.60%,-34.10%,-,-4.50%,77.80%,-7.90%,186.00M,184.84M,0.20%,0.32%,76.90%,2.30%,5.45%,1.92,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,13.58%,37.77%,24.47%,114.84%,-6.60%,-12.51%,2.49,0.80,4.62%,4.70%,25.62%,39.00%,61.27%,-0.90%,71.40%,-14.14%,264.73%,80.19,-0.37%,-0.21%,2.60,5.24M,0.91,18.82,-0.58%,"4,748,037",Oct 14/a,14.43,10/18/2016
6182,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.80%,-1.74%,-2.86%,9.38%,27.65%,23.10%,-,0.20,0.63%,0.69%,-0.98%,-1.55%,4.54%,-4.99%,1.17%,-9.58%,28.71%,46.01,-0.21%,0.54%,-,636.92K,0.31,18.65,0.32%,"200,180",-,-,8/15/2018
6183,4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,36.80M,-,-,-,1.57,1.01,2.16,-,-,-,-0.61,-37.70%,-,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43M,31.50M,18.70%,0.00%,0.10%,-11.11%,0.00%,0.00,-16.40%,-38.80%,-45.00%,0.50,0.50,0.00,0.01,34.50%,-,-68.30%,1.47%,-8.73%,6.48%,27.79%,-37.87%,-15.50%,1.63,0.07,4.61%,4.64%,1.19%,1.92%,8.71%,-19.58%,8.49%,-38.83%,87.91%,51.72,-2.54%,1.72%,-,74.61K,0.44,1.15,-0.86%,"32,622",Nov 12/a,-,1/29/2008
6184,5,AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA,716.53M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,0.04,-,-,-,-,-,-,-,-,-,-,1.12%,1.12%,-,-,-,-1.10%,-,0.08,0.76%,0.81%,1.65%,0.76%,0.64%,-5.63%,3.29%,-5.63%,3.29%,63.74,0.20%,0.00%,-,327.83K,0.10,9.89,0.20%,"32,413",-,-,9/4/2020
6185,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.22%,2.46%,2.47%,19.28%,15.30%,6.85%,-,0.99,0.95%,1.30%,2.24%,2.27%,10.92%,-4.67%,8.95%,-4.67%,70.61%,56.03,0.86%,0.30%,-,7.38K,0.49,57.58,1.16%,"3,643",-,-,7/21/2010
6186,7,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,100.31M,-,11.05,-,55.73,0.53,11.27,4.73,-,-,-1.49,109.80%,8.63%,-3.90%,-,8.00%,149.90%,-53.90%,34.66M,32.45M,2.30%,0.00%,36.30%,-10.74%,2.29%,3.31,-2.70%,-24.60%,0.30%,-,-,0.97,3.50,-,-,-,6.62%,16.79%,8.90%,22.89%,-46.22%,-45.06%,1.75,0.12,3.96%,4.90%,11.56%,11.23%,-1.25%,-3.42%,28.57%,-54.80%,118.57%,66.11,1.32%,0.67%,2.70,224.97K,0.79,3.06,2.00%,"176,622",Nov 03/a,3.50,12/23/1997
6187,8,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,7.00B,-,-,-,0.28,-,0.84,-,-,-,-13.85,25.20%,73.20%,-0.70%,-,1.40%,-590.60%,-73.40%,509.05M,502.83M,0.10%,0.00%,50.30%,-4.93%,34.36%,2.68,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,2.37%,-4.71%,-6.77%,12.48%,-55.14%,-56.31%,1.70,0.62,4.20%,4.76%,5.23%,1.04%,-8.19%,-13.05%,17.87%,-59.29%,51.88%,54.29,-2.26%,0.23%,3.40,64.35M,0.89,12.53,-2.03%,"57,239,407",Oct 22/b,10.58,12/9/2013
6188,9,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,37.03M,-,-,-,9.03,-,1.21,6.61,-,-,-12.65,74.20%,-,-15.80%,-,-48.20%,45.40%,-,1.63M,0.61M,6.30%,0.00%,15.40%,-12.68%,0.86%,0.56,-6.30%,1.70%,4.50%,-,-,-,-,-,-,-89.10%,2.22%,15.46%,15.58%,45.39%,69.74%,86.23%,0.65,1.33,4.44%,6.18%,0.05%,5.79%,30.18%,-10.89%,27.78%,-28.66%,125.49%,54.10,-0.69%,1.80%,-,9.35K,0.09,23.00,1.10%,830,-,-,12/13/2012
6189,10,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,43.89M,66.97,-,-,0.23,0.35,4.93,9.34,-,34.00%,0.03,28.70%,-,-17.10%,-,3.60%,210.50%,-2.90%,20.44M,4.08M,2.80%,0.00%,5.50%,0.55%,0.18%,0.95,0.30%,1.00%,1.10%,-,-,0.26,0.26,-,2.10%,0.60%,0.45%,0.45%,3.09%,14.51%,0.91%,12.18%,0.26,0.13,4.09%,4.97%,3.70%,5.94%,9.72%,-7.53%,17.55%,-36.49%,51.37%,55.20,6.76%,-3.72%,-,7.83K,0.66,2.21,2.79%,"5,132",-,-,3/17/1980
6190,11,AAN,"Aaron's Holdings Company, Inc.",Industrials,Rental & Leasing Services,USA,4.24B,-,12.40,-,1.01,2.59,9.01,9.82,0.29%,-,-3.71,-83.50%,-1.03%,-15.70%,16.00%,7.90%,176.70%,9.20%,67.40M,66.81M,1.00%,-40.92%,95.40%,-3.43%,2.73%,3.36,-6.90%,-13.20%,2.10%,-,-,0.17,0.17,96.70%,-6.10%,-5.00%,4.93%,7.32%,8.45%,73.53%,11.05%,10.33%,2.00,2.54,3.88%,4.65%,9.29%,9.24%,40.88%,-0.46%,22.52%,-1.72%,384.51%,68.67,1.40%,-0.89%,1.80,543.16K,1.34,63.01,0.49%,"727,988",Oct 29/b,73.56,11/4/1982
6191,12,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,178.52M,-,-,-,0.77,0.68,3.81,-,-,-,-3.91,-10.50%,46.30%,-68.80%,13.00%,7.90%,3.60%,66.20%,22.74M,21.76M,6.50%,-4.56%,48.80%,-7.46%,19.48%,6.62,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,4.35%,-23.77%,-32.02%,-11.61%,-22.35%,-33.33%,1.83,0.52,5.37%,6.15%,-7.25%,-20.59%,-22.08%,-33.67%,10.00%,-54.92%,58.40%,38.81,2.33%,-0.39%,2.90,640.47K,1.08,7.92,1.93%,"689,979",Nov 05/a,9.25,9/26/2013
6192,13,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.44B,45.47,50.36,3.79,6.60,9.92,-,56.59,0.58%,24.00%,1.44,27.00%,-8.77%,5.10%,12.00%,5.70%,42.00%,18.80%,52.26M,40.93M,19.10%,-1.96%,72.60%,0.86%,9.12%,20.25,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,0.58%,6.92%,11.57%,19.51%,35.37%,32.50%,0.70,2.51,3.80%,4.27%,4.59%,7.04%,18.61%,-5.68%,19.37%,-5.68%,61.73%,59.50,0.65%,-1.08%,3.50,184.36K,2.05,65.47,-0.44%,"377,650",Nov 05/a,35.00,1/3/1991
6193,14,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.91B,21.00,15.25,1.76,1.01,2.65,9.28,16.04,0.69%,12.60%,6.87,21.10%,10.43%,0.40%,11.90%,-0.30%,21.70%,9.90%,68.97M,67.60M,0.40%,2.41%,-,-0.77%,3.07%,2.62,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,-6.28%,-5.62%,-8.15%,6.45%,-8.84%,-9.88%,1.29,4.32,2.62%,2.79%,-5.15%,-5.82%,4.71%,-12.04%,1.31%,-15.35%,102.35%,35.67,-1.08%,-0.12%,2.30,792.36K,1.68,144.33,-1.20%,"1,334,180",Nov 10/b,175.63,11/29/2001
6194,15,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2017.09B,35.92,27.11,2.84,7.35,30.64,22.18,34.02,0.70%,24.10%,3.27,10.20%,9.27%,7.30%,12.64%,3.30%,-3.00%,1.00%,17.06B,16.99B,0.07%,-6.81%,59.80%,-,0.47%,0.52,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,-1.61%,1.37%,-6.77%,48.19%,79.14%,59.84%,1.31,3.15,1.72%,2.66%,1.13%,1.75%,25.71%,-6.42%,13.81%,-14.96%,120.76%,52.96,-1.09%,-0.01%,2.10,154.64M,0.47,117.34,-1.10%,"72,188,812",Oct 29/a,124.81,12/12/1980
6195,16,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.74B,45.30,39.64,15.10,4.82,1.33,11.23,-,3.50%,166.80%,0.63,101.50%,38.46%,10.50%,3.00%,7.10%,-61.20%,-14.20%,59.83M,59.59M,0.30%,233.64%,97.20%,0.22%,1.14%,2.02,1.30%,2.90%,4.30%,-,-,1.10,1.10,65.10%,28.20%,10.40%,7.29%,17.26%,10.75%,5.70%,-38.10%,-37.82%,1.21,1.20,4.12%,4.55%,17.66%,16.40%,1.64%,-3.09%,37.67%,-40.73%,41.64%,64.61,-0.70%,-0.66%,2.80,336.05K,0.80,28.54,-1.35%,"268,419",Oct 27/a,27.00,1/13/2011
6196,17,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,131.90M,-,-,-,-,2.35,48.85,-,-,-,-0.02,-3.20%,-,31.70%,-,-,81.30%,-,119.16M,115.02M,7.20%,0.00%,5.90%,45.40%,0.49%,0.80,-4.20%,-4.60%,-,9.50,9.50,0.04,0.04,-,-,-,-2.70%,14.50%,59.57%,148.45%,129.79%,83.36%,1.19,0.10,7.16%,9.62%,1.50%,13.36%,79.53%,-12.90%,60.21%,-12.90%,409.19%,52.97,-3.57%,0.90%,-,696.81K,0.43,1.08,-2.70%,"298,754",-,-,10/17/2003
6197,18,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.50B,-,6.18,-,0.50,0.69,2.09,1.84,-,-,-9.16,-218.60%,-28.91%,-36.10%,10.00%,8.80%,19.90%,24.90%,26.14M,25.57M,1.40%,-27.65%,-,-0.71%,11.21%,5.64,-4.20%,-12.40%,-5.00%,1.00,1.00,1.03,1.17,57.70%,-9.70%,-7.70%,-2.39%,-16.24%,-7.11%,36.75%,118.76%,93.69%,1.37,2.73,3.75%,4.82%,-8.03%,-12.55%,20.78%,-22.70%,6.27%,-22.70%,256.71%,37.79,-1.42%,-0.81%,1.70,508.20K,1.05,53.40,-2.22%,"536,136",Nov 05/b,79.50,7/21/2004
6198,19,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.71%,6.79%,10.09%,34.23%,22.84%,16.69%,-,1.13,0.78%,1.16%,4.14%,7.38%,19.88%,-0.73%,15.97%,-0.73%,61.98%,71.74,0.29%,0.51%,-,1.24M,0.52,85.77,0.80%,"643,803",-,-,8/15/2008
6199,20,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,7.82B,-,96.75,-,12.48,8.85,15.43,-,-,-,-0.66,-97.10%,16.22%,-47.40%,18.80%,26.40%,-113.50%,27.20%,63.50M,62.62M,1.70%,-13.42%,88.40%,3.85%,7.59%,8.04,-3.80%,-5.60%,-1.40%,3.40,3.00,0.00,0.00,58.70%,-5.50%,-6.40%,3.17%,20.43%,49.92%,64.66%,73.59%,70.32%,0.63,4.76,3.18%,4.03%,12.04%,24.11%,44.79%,-2.78%,54.97%,-2.78%,149.37%,72.69,0.50%,0.89%,2.10,591.21K,0.69,124.81,1.39%,"406,032",Nov 05/a,119.56,6/7/2001
6200,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,33.51B,50.11,30.12,5.22,6.42,6.88,24.67,64.69,0.70%,30.80%,2.21,26.10%,14.03%,37.50%,9.60%,5.00%,5.50%,-1.00%,309.00M,307.28M,0.40%,-11.59%,89.80%,-1.02%,1.02%,2.53,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,0.65%,3.86%,13.62%,28.75%,41.62%,29.98%,1.00,2.85,2.89%,2.52%,3.02%,6.45%,23.32%,-5.63%,16.19%,-5.63%,81.40%,60.75,2.07%,-0.04%,2.20,1.24M,2.24,110.89,2.03%,"2,774,924",Nov 23/a,106.40,11/18/1999
6201,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,3.52B,-,272.75,-,0.38,1.03,2.03,14.54,-,-,-2.53,-559.70%,104.60%,-34.10%,-,-4.50%,77.80%,-7.90%,186.00M,184.84M,0.20%,0.32%,76.90%,2.30%,5.45%,1.92,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,13.58%,37.77%,24.47%,114.84%,-6.60%,-12.51%,2.49,0.80,4.62%,4.70%,25.62%,39.00%,61.27%,-0.90%,71.40%,-14.14%,264.73%,80.19,-0.37%,-0.21%,2.60,5.24M,0.91,18.82,-0.58%,"4,748,037",Oct 14/a,14.43,10/18/2016
6202,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.80%,-1.74%,-2.86%,9.38%,27.65%,23.10%,-,0.20,0.63%,0.69%,-0.98%,-1.55%,4.54%,-4.99%,1.17%,-9.58%,28.71%,46.01,-0.21%,0.54%,-,636.92K,0.31,18.65,0.32%,"200,180",-,-,8/15/2018
6203,4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,36.80M,-,-,-,1.57,1.01,2.16,-,-,-,-0.61,-37.70%,-,-48.00%,25.00%,-22.50%,154.90%,3.90%,34.43M,31.50M,18.70%,0.00%,0.10%,-11.11%,0.00%,0.00,-16.40%,-38.80%,-45.00%,0.50,0.50,0.00,0.01,34.50%,-,-68.30%,1.47%,-8.73%,6.48%,27.79%,-37.87%,-15.50%,1.63,0.07,4.61%,4.64%,1.19%,1.92%,8.71%,-19.58%,8.49%,-38.83%,87.91%,51.72,-2.54%,1.72%,-,74.61K,0.44,1.15,-0.86%,"32,622",Nov 12/a,-,1/29/2008
6204,5,AACQ,Artius Acquisition Inc.,Financial,Shell Companies,USA,716.53M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,0.04,-,-,-,-,-,-,-,-,-,-,1.12%,1.12%,-,-,-,-1.10%,-,0.08,0.76%,0.81%,1.65%,0.76%,0.64%,-5.63%,3.29%,-5.63%,3.29%,63.74,0.20%,0.00%,-,327.83K,0.10,9.89,0.20%,"32,413",-,-,9/4/2020
6205,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,0.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.22%,2.46%,2.47%,19.28%,15.30%,6.85%,-,0.99,0.95%,1.30%,2.24%,2.27%,10.92%,-4.67%,8.95%,-4.67%,70.61%,56.03,0.86%,0.30%,-,7.38K,0.49,57.58,1.16%,"3,643",-,-,7/21/2010
6206,7,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,100.31M,-,11.05,-,55.73,0.53,11.27,4.73,-,-,-1.49,109.80%,8.63%,-3.90%,-,8.00%,149.90%,-53.90%,34.66M,32.45M,2.30%,0.00%,36.30%,-10.74%,2.29%,3.31,-2.70%,-24.60%,0.30%,-,-,0.97,3.50,-,-,-,6.62%,16.79%,8.90%,22.89%,-46.22%,-45.06%,1.75,0.12,3.96%,4.90%,11.56%,11.23%,-1.25%,-3.42%,28.57%,-54.80%,118.57%,66.11,1.32%,0.67%,2.70,224.97K,0.79,3.06,2.00%,"176,622",Nov 03/a,3.50,12/23/1997
6207,8,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,7.00B,-,-,-,0.28,-,0.84,-,-,-,-13.85,25.20%,73.20%,-0.70%,-,1.40%,-590.60%,-73.40%,509.05M,502.83M,0.10%,0.00%,50.30%,-4.93%,34.36%,2.68,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,2.37%,-4.71%,-6.77%,12.48%,-55.14%,-56.31%,1.70,0.62,4.20%,4.76%,5.23%,1.04%,-8.19%,-13.05%,17.87%,-59.29%,51.88%,54.29,-2.26%,0.23%,3.40,64.35M,0.89,12.53,-2.03%,"57,239,407",Oct 22/b,10.58,12/9/2013
6208,9,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,37.03M,-,-,-,9.03,-,1.21,6.61,-,-,-12.65,74.20%,-,-15.80%,-,-48.20%,45.40%,-,1.63M,0.61M,6.30%,0.00%,15.40%,-12.68%,0.86%,0.56,-6.30%,1.70%,4.50%,-,-,-,-,-,-,-89.10%,2.22%,15.46%,15.58%,45.39%,69.74%,86.23%,0.65,1.33,4.44%,6.18%,0.05%,5.79%,30.18%,-10.89%,27.78%,-28.66%,125.49%,54.10,-0.69%,1.80%,-,9.35K,0.09,23.00,1.10%,830,-,-,12/13/2012
6209,10,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,43.89M,66.97,-,-,0.23,0.35,4.93,9.34,-,34.00%,0.03,28.70%,-,-17.10%,-,3.60%,210.50%,-2.90%,20.44M,4.08M,2.80%,0.00%,5.50%,0.55%,0.18%,0.95,0.30%,1.00%,1.10%,-,-,0.26,0.26,-,2.10%,0.60%,0.45%,0.45%,3.09%,14.51%,0.91%,12.18%,0.26,0.13,4.09%,4.97%,3.70%,5.94%,9.72%,-7.53%,17.55%,-36.49%,51.37%,55.20,6.76%,-3.72%,-,7.83K,0.66,2.21,2.79%,"5,132",-,-,3/17/1980
6210,11,AAN,"Aaron's Holdings Company, Inc.",Industrials,Rental & Leasing Services,USA,4.24B,-,12.40,-,1.01,2.59,9.01,9.82,0.29%,-,-3.71,-83.50%,-1.03%,-15.70%,16.00%,7.90%,176.70%,9.20%,67.40M,66.81M,1.00%,-40.92%,95.40%,-3.43%,2.73%,3.36,-6.90%,-13.20%,2.10%,-,-,0.17,0.17,96.70%,-6.10%,-5.00%,4.93%,7.32%,8.45%,73.53%,11.05%,10.33%,2.00,2.54,3.88%,4.65%,9.29%,9.24%,40.88%,-0.46%,22.52%,-1.72%,384.51%,68.67,1.40%,-0.89%,1.80,543.16K,1.34,63.01,0.49%,"727,988",Oct 29/b,73.56,11/4/1982
6211,12,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,178.52M,-,-,-,0.77,0.68,3.81,-,-,-,-3.91,-10.50%,46.30%,-68.80%,13.00%,7.90%,3.60%,66.20%,22.74M,21.76M,6.50%,-4.56%,48.80%,-7.46%,19.48%,6.62,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,4.35%,-23.77%,-32.02%,-11.61%,-22.35%,-33.33%,1.83,0.52,5.37%,6.15%,-7.25%,-20.59%,-22.08%,-33.67%,10.00%,-54.92%,58.40%,38.81,2.33%,-0.39%,2.90,640.47K,1.08,7.92,1.93%,"689,979",Nov 05/a,9.25,9/26/2013
6212,13,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.44B,45.47,50.36,3.79,6.60,9.92,-,56.59,0.58%,24.00%,1.44,27.00%,-8.77%,5.10%,12.00%,5.70%,42.00%,18.80%,52.26M,40.93M,19.10%,-1.96%,72.60%,0.86%,9.12%,20.25,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,0.58%,6.92%,11.57%,19.51%,35.37%,32.50%,0.70,2.51,3.80%,4.27%,4.59%,7.04%,18.61%,-5.68%,19.37%,-5.68%,61.73%,59.50,0.65%,-1.08%,3.50,184.36K,2.05,65.47,-0.44%,"377,650",Nov 05/a,35.00,1/3/1991
